,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
SNPS,1.172839,,41.797115,78.38046,57847660544.0,4.81,9.02,2.01,10.897818,42.156,1466813312.0,12.124,0.524,0.27526,1.088,383.63,0.18812001,0.249,1.248,377.01
KLAC,1.287356,0.011,17.549435,21.15734,56517099520.0,17.618,21.24,0.99,14.650394,15.184,,476.075,0.317,0.43467999,1.574,402.55,1.3915199,0.291,2.497,372.75
AEP,0.357173,0.0317,20.362173,21.251574,50234667008.0,4.762,4.97,3.07,2.2875226,12.812,-4203974912.0,157.357,-0.113,0.38484,0.258,105.5,0.112110004,0.213,0.753,101.2
EMR,1.404427,0.0229,16.383894,22.903141,52117704704.0,3.82,5.34,1.53,5.274295,14.068,2008999936.0,108.329,0.215,0.21843,1.29,100.5,0.29069,0.081,1.677,87.49
CNC,0.47765,,17.249542,75.26822,54855114752.0,1.249,5.45,1.33,2.072668,10.471,3940124928.0,83.68,,0.04488,1.01,103.15,0.07041,0.158,1.114,94.01
MCK,0.633461,0.0063,16.285067,,54776197120.0,-30.589,22.03,1.07,,16.991,2685625088.0,,-0.406,0.01209,0.456,369.92,,0.118,0.954,358.76
GM,1.266496,,5.6310396,5.147216,55838531584.0,7.472,6.83,1.8,1.065374,9.0,-4729750016.0,163.958,-0.4,0.12437,0.853,52.26,0.13627,0.047,1.147,38.46
MRNA,1.646803,,6.490744,10.292954,69660360704.0,16.692,26.47,-0.15,6.87295,3.389,8587500032.0,5.546,2.021,0.73243,1.459,220.67,1.39989,2.132,1.77,171.81
SRE,0.652192,0.0276,19.372341,47.013767,52336140288.0,3.486,8.46,2.75,2.2092068,16.989,-723000000.0,99.151,-0.327,0.34767,0.614,171.44,0.0448,0.172,0.722,163.89
FCX,2.083014,0.019,8.921127,11.99167,46506446848.0,2.641,3.55,-0.37,3.4817502,4.942,4922749952.0,46.126,-0.218,0.47305,1.838,38.51,0.2678,-0.058,2.728,31.67
KMB,0.345679,0.0352,19.945187,22.888474,45332209664.0,5.882,6.75,3.92,95.617905,15.429,1694125056.0,1211.456,0.084,0.17166,0.386,132.88,2.42133,0.072,0.785,134.63
VLO,1.78842,0.0354,19.046745,,46644097024.0,-1.088,5.99,0.1,2.6689591,4.265,8156250112.0,56.658,28.667,0.08269,0.851,135.2,0.3549,0.861,1.248,114.09
MPC,1.785866,0.0253,22.917063,6.788572,59533512704.0,14.246,4.22,0.18,2.127084,8.674,18097874944.0,89.568,,0.06306,1.045,119.29,0.12817,0.679,1.449,96.71
LHX,0.72286,0.0187,16.907164,30.781208,45384876032.0,7.514,13.68,0.41,2.336121,15.185,2362500096.0,40.657,0.204,0.20913,0.964,,0.09743,-0.114,1.267,231.29
MCO,1.188165,0.009,25.067087,28.453684,59041841152.0,11.162,12.67,5.93,24.296207,23.56,1512499968.0,335.821,-0.423,0.45341998,1.2,306.33,0.71042997,-0.111,1.387,317.6
GIS,0.359301,0.028900001,19.632652,21.21279,46422806528.0,3.628,3.92,3.87,4.873971,14.141,1698912512.0,111.007,0.987,0.20874001,0.336,72.94,0.25843,0.081,0.635,76.96
F,1.206896,0.0272,7.954774,22.201963,63260475392.0,0.713,1.99,0.1,1.7287322,9.234,13603749888.0,294.401,0.143,0.1179,0.954,15.98,0.29395,0.502,1.162,15.83
O,0.704555,0.0401,42.69364,58.24921,41787404288.0,1.268,1.73,3.6,2.2387924,27.229,1195269632.0,64.286,0.3,0.91349,0.678,75.19,0.025009999,0.828,0.857,73.86
ROP,1.027245,0.0057,28.420708,41.159725,45748846592.0,10.537,15.26,2.96,4.0334806,22.101,1340212480.0,54.325,,0.38176998,1.148,479.67,0.08193,,1.577,433.7
AZO,0.827586,,19.099571,21.749556,46031839232.0,102.569,116.8,2.03,,13.827,2082475776.0,,0.096,0.23006001,0.094,2230.11,,0.059,0.776,2230.83
COF,1.487015,0.0219,5.9694457,4.310931,49061449728.0,26.739,19.31,-0.82,0.8607956,,,,-0.349,0.0,,142.38,0.16882999,-0.163,,115.27
ADM,0.814814,0.019299999,17.60251,18.172785,47071367168.0,4.63,4.78,1.3,2.1409125,11.957,-777875008.0,50.788,0.73,0.051609997,0.357,94.38,0.15677,0.19,1.467,84.14
MET,1.130693,0.031600002,9.262501,11.12984,56096960512.0,5.992,7.2,-12.86,0.8156701,13.035,10038500352.0,203.092,1.229,0.13922,0.786,75.2,0.11441,0.012,0.99,66.69
EXC,0.579395,0.029000001,13.76506,26.725145,44709134336.0,1.71,3.32,2.31,1.320771,9.78,575249984.0,167.945,,0.22785,0.646,48.59,0.06176,0.15,0.943,45.7
ORLY,0.99106,,23.403057,24.997742,48472694784.0,28.779,30.74,2.17,,15.791,1843472256.0,,0.054,0.23646,0.11,747.44,,0.059,0.748,719.41
SYY,1.065559,0.0231,19.539192,61.756756,42171084800.0,1.332,4.21,0.52,25.186773,16.638,429781504.0,880.863,2.471,0.049629997,0.681,95.27,0.71817,0.429,1.244,82.26
PSX,1.428693,0.0436,12.820029,,38706380800.0,-1.151,6.89,0.98,2.1333687,7.572,1860999936.0,57.107,8.893,0.04862,0.92,115.46,0.25226,0.799,1.277,88.33
CDNS,1.091528,,52.34551,75.14113,51645227008.0,2.48,3.56,2.54,19.628185,44.337,1002527104.0,13.256,0.214,0.34541,1.386,194.35,0.30149,0.177,1.59,186.35
IQV,1.329927,,23.842365,61.59328,46231678976.0,3.929,10.15,1.66,7.9339056,21.056,1538249984.0,243.871,0.489,0.1893,0.831,264.0,0.20878,0.03,0.962,242.0
WELL,0.968922,0.028299998,80.42574,78.4831,35357388800.0,1.035,1.01,3.14,2.096691,27.708,2086503424.0,78.847,-0.18,0.39242,0.994,94.21,0.02032,0.327,1.545,81.23
DOW,1.406411,0.052600004,8.661442,7.171966,40871067648.0,7.705,6.38,-1.54,2.4862773,4.452,4490874880.0,77.172,-0.1,0.19089001,0.767,60.41,0.37577,0.128,1.636,55.26
FTNT,1.180928,,11.392625,15.809753,8587020288.0,3.322,4.61,2.79,7.6749964,60.875,969687488.0,424.057,0.312,0.21406999,1.168,71.8,1.05074,0.344,1.278,52.52
ECL,1.030225,0.0124,28.664993,43.756073,49040211968.0,3.911,5.97,2.79,7.0729494,20.587,,127.527,0.0,0.20125,0.734,180.17,0.16186,0.132,1.289,171.13
NXPI,1.420178,0.0184,15.006656,32.297226,47968993280.0,5.585,12.02,1.18,7.130208,12.339,2443375104.0,154.442,0.782,0.36863998,1.544,197.23,0.33367002,0.276,2.149,180.38
TRV,0.704129,0.0234,13.450995,11.8206005,41528778752.0,14.281,12.55,1.9,1.4584268,7.41,14155875328.0,31.875,-0.38,0.15349,0.175,175.12,0.137,0.052,0.343,168.81
ADSK,1.460621,,33.273792,38.336708,49991061504.0,5.928,6.83,1.29,39.10186,53.968,1276075008.0,448.311,-0.043,0.19663,0.518,247.44,0.53830004,0.183,0.62,227.26
MAR,1.618135,0.0076,30.287594,112.83614,52477304832.0,1.428,5.32,0.67,57.15857,24.659,1807500032.0,594.526,,0.63403,0.491,171.26,1.48255,0.965,0.532,161.13
XEL,0.357173,0.026600001,23.536278,25.516417,40190615552.0,2.924,3.17,3.24,2.6480923,14.037,-983249984.0,158.537,0.04,0.33043,0.474,74.83,0.10609999,0.116,0.995,74.61
CTVA,0.730413,0.0104,23.270271,27.370573,43931344896.0,2.202,2.59,1.45,1.7790307,11.086,2111374976.0,8.374,-0.026,0.23417,0.997,62.85,0.07043,0.101,1.645,60.27
HCA,1.661132,0.0105,11.578609,11.08483,67342704640.0,19.533,18.7,2.19,,8.579,2680750080.0,,-0.106,0.20414,1.054,236.98,22.59568,0.027,1.549,216.52
WMB,1.22435,0.0499,26.515625,41.390244,41238118400.0,0.82,1.28,3.2,3.6911364,14.806,1678875008.0,160.518,-0.114,0.41125,0.598,37.74,0.106809996,0.026,0.732,33.94
STZ,1.039591,0.012999999,20.222597,61.942146,44969762816.0,3.872,11.86,2.09,4.025985,16.37,788400000.0,94.972,,0.37466,0.415,274.63,0.10743,0.166,1.396,239.84
APH,1.210302,0.0104,29.172283,32.72689,46580404224.0,2.38,2.67,2.41,7.8281407,17.654,1924737536.0,74.326,0.279,0.23538,1.514,85.42,0.28972,0.182,2.445,77.89
AIG,1.263516,0.0247,10.509329,8.833307,46770688000.0,6.377,5.36,0.92,0.7313115,3.663,13308999680.0,51.526,0.168,0.31436002,0.186,66.0,0.17506,0.093,0.729,56.33
ALL,0.816943,0.0291,11.952919,11.721146,36390653952.0,10.83,10.62,3.43,1.4765787,6.323,11428875264.0,34.502,,0.11459,0.264,142.14,0.13615,-0.009,0.45,126.94
PAYX,0.976585,0.024600001,34.126617,37.51989,47645179904.0,3.52,3.87,2.27,15.273505,22.567,1577325056.0,29.376,0.139,0.44057,0.482,127.81,0.46171,0.112,1.249,132.07
AJG,0.671775,0.0114,31.021776,40.069233,38387884032.0,4.622,5.97,2.26,4.5589933,19.314,,76.305,0.446,0.27238,0.807,191.15,0.12589,0.056,1.053,185.2
A,1.044699,0.0063,28.074469,33.489845,39849029632.0,3.94,4.7,1.75,7.399618,22.708,868750016.0,59.918,0.3,0.28282,1.348,,0.25433,0.054,2.009,131.95
DVN,2.620689,0.0808,12.3250475,32.00596,43639418880.0,2.014,5.23,0.23,4.8900013,6.899,3098249984.0,71.489,3.625,0.4454,1.188,76.93,0.4031,0.74,1.325,64.46
CMG,1.270753,,49.218166,65.48721,45891366912.0,24.907,33.14,1.8,19.872437,39.302,688072128.0,168.246,0.402,0.14458,1.134,1742.34,0.34939,0.17,1.258,1631.09
MSI,0.90464,0.013200001,25.534412,34.821255,42609332224.0,7.245,9.88,2.0,,20.183,1370749952.0,,0.092,0.26996002,0.779,273.33,,0.067,1.101,252.28
DLTR,0.685398,,22.137884,27.830696,37200973824.0,5.942,7.47,1.2,5.1338005,16.407,83287504.0,120.278,0.481,0.10444,0.284,175.47,0.19035,0.065,1.464,165.37
HPQ,0.981694,0.0299,7.8127856,6.420263,37050679296.0,5.33,4.38,1.01,,6.13,2770374912.0,,-0.041,0.10029,0.44,37.4,,0.039,0.813,34.22
MNST,0.927203,,30.37415,31.223778,47252115456.0,2.86,2.94,2.59,7.5665145,27.21,682393472.0,0.5,-0.068,0.31636998,3.612,102.72,0.2201,0.221,4.542,89.3
CTSH,1.106002,0.0159,15.20354,19.38505,36513615872.0,3.545,4.52,1.43,3.1247725,9.862,2289499904.0,13.146,0.144,0.18136999,2.056,79.38,0.19521,0.07,2.227,68.72
DLR,0.33163,0.0368,83.24516,54.420074,36617035776.0,2.371,1.55,4.8,2.214005,24.714,,88.917,-0.584,0.49011,0.74,157.21,0.07624,-0.035,0.74,129.03
PRU,1.458492,0.048,8.173809,5.6097827,38930219008.0,18.359,12.6,-2.01,0.6306218,6.55,-7706874880.0,76.881,,0.10493,0.15,102.07,0.09562001,-0.22,0.986,102.99
TEL,1.278416,0.0168,16.973452,19.77902,43810779136.0,6.788,7.91,1.44,4.129044,12.495,1224000000.0,39.879,0.057,0.2352,0.781,,0.24281,0.066,1.499,134.26
EA,0.840357,0.0058,17.221779,47.76427,36674539520.0,2.715,7.53,1.48,4.6824336,21.97,1794249984.0,29.259,2.023,0.23372999,1.057,152.45,0.10204001,0.356,1.182,129.68
JCI,1.175819,0.025999999,16.102858,24.806337,39696154624.0,2.272,3.5,,2.2745068,11.578,1874249984.0,60.583,-0.967,0.16644,0.642,,0.07946,0.09,0.996,56.36
SBAC,0.428693,0.0077,86.304016,131.80737,37365186560.0,2.606,3.98,2.08,,32.821,820807488.0,,,0.65186995,0.339,377.82,,0.129,0.422,343.49
BK,1.135376,0.0341,9.708971,11.304459,36641677312.0,3.925,4.57,1.58,0.9380946,,,,-0.089,0.0,,48.4,0.07916,0.04,,44.37
CTAS,1.437633,0.0094,35.86311,40.14577,44538204160.0,10.702,11.98,3.06,12.499709,24.448,1102547968.0,91.591,0.141,0.23952,0.781,436.5,0.35327,0.13,1.837,429.64
RMD,0.415921,0.0069999998,35.31525,70.5891,35097387008.0,3.412,6.82,1.72,11.597728,32.544,219559120.0,25.378,,0.31077,1.13,244.33,0.26034,0.125,2.554,240.85
GPN,1.040017,0.0082,13.925964,42.169247,38749667328.0,3.167,9.59,0.76,1.4816664,12.814,2671156992.0,48.644,0.314,0.40394002,0.62,167.65,0.03978,0.084,1.059,133.55
PEG,0.578118,0.032899998,19.21902,,33722732544.0,-1.315,3.47,5.63,2.389038,18.576,-851249984.0,143.609,,0.29849002,0.668,72.11,-0.086899996,-0.199,0.893,66.69
SPG,1.493827,0.0626,18.730705,18.466892,37485572096.0,6.177,6.09,2.17,11.236209,16.731,1677848704.0,598.352,-0.043,0.71597,0.3,129.47,0.61227,0.045,0.331,114.07
HLT,1.243082,0.0047,31.323256,962.0715,37541064704.0,0.14,4.3,0.65,,22.513,1275124992.0,,1.87,0.61076,0.771,145.29,,0.695,0.889,134.69
HSY,0.326947,0.0182,29.944147,32.691635,46387978240.0,6.888,7.52,2.84,18.346096,20.194,1165878528.0,184.781,0.055,0.26342,0.301,231.89,0.63255,0.193,0.736,225.18
MSCI,1.060451,0.0104,44.9435,60.815536,41315692544.0,8.24,11.15,3.03,,34.02,852688000.0,,0.302,0.57444,1.276,492.64,,0.108,1.329,501.12
KR,0.530864,0.0224,13.920353,35.615093,34696728576.0,1.325,3.39,1.71,3.6587067,7.264,4441999872.0,220.92,4.0,0.051269997,0.201,54.88,0.2351,0.08,0.756,47.19
WEC,0.284802,0.027999999,24.26279,25.13976,32909334528.0,4.15,4.3,3.77,3.0168874,16.064,-56550000.0,132.183,0.112,0.35049,0.511,102.96,0.12092,0.081,0.785,104.33
BAX,0.683695,0.0198,13.691781,25.2399,30026559488.0,2.376,4.38,1.41,3.4235315,13.795,1180875008.0,192.699,-0.153,0.22927,1.13,77.85,0.11722,0.209,2.013,59.97
MCHP,1.595146,0.016,14.535643,62.44095,39601143808.0,1.143,4.91,0.53,6.9439583,15.124,2102112512.0,133.17,2.712,0.44314,0.995,81.79,0.2289,0.257,1.753,71.37
YUM,1.018305,0.0186,23.779799,22.732716,34504683520.0,5.178,4.95,2.7,,20.718,1045249984.0,,0.271,0.3398,0.714,134.97,,0.041,1.041,117.71
PH,1.548318,0.0184,15.476703,21.070757,38844944384.0,14.345,19.53,1.98,4.5749836,13.32,-443684736.0,90.869,-0.258,0.21500999,0.565,310.5,0.20661,0.091,1.522,302.26
ED,0.234567,0.0318,21.884445,29.170618,34837200896.0,3.376,4.5,4.23,1.7398679,12.577,-1000750016.0,122.126,0.393,0.34213,0.618,88.0,0.06651,0.104,1.009,98.48
AFL,0.956577,0.0279,11.8861475,10.157289,41438113792.0,6.167,5.27,-7.96,1.2374556,7.789,2494874880.0,34.484,-0.155,0.24515,0.461,60.69,0.13188,-0.102,0.644,62.64
KMI,0.939974,0.0617,18.048544,24.205729,42151522304.0,0.768,1.03,-5.74,1.3795918,12.336,1014875008.0,100.212,,0.3351,0.323,20.31,0.07887,0.635,0.524,18.59
WBD,1.351213,,,,,,,6.24,,5.628,7167374848.0,106.172,2.267,0.3065,1.856,30.29,0.11332,0.131,2.014,13.68
DXCM,1.024691,,24.37569,16.642776,8552397312.0,5.302,3.62,3.43,4.002903,84.621,7275000.0,94.751,-0.346,0.13971,4.109,119.53,0.078990005,0.17,4.72,88.24
TT,1.246062,0.0182,22.727793,28.522116,37683347456.0,5.562,6.98,0.87,5.818662,16.215,920675008.0,80.495,0.142,0.16143,0.859,,0.24181,0.112,1.313,158.64
CMI,1.010642,0.028399998,12.260679,14.718296,32022005760.0,15.211,18.26,1.5,3.9621272,11.574,923500032.0,49.696,-0.283,0.12084,0.955,234.24,0.21485001,0.048,1.677,223.88
FAST,1.252873,0.0241,31.537573,35.428574,31380893696.0,1.54,1.73,4.1,10.583899,19.566,375775008.0,24.035,0.196,0.23366,1.592,48.43,0.34042,0.18,3.713,54.56
HAL,2.313324,0.0164,17.394117,66.15212,26468581376.0,0.447,1.7,0.27,4.653029,11.141,1429374976.0,133.436,-0.53,0.17392999,1.388,42.62,0.23025998,0.369,2.153,29.57
BIIB,0.386547,,11.776578,21.35852,32054988800.0,10.217,18.53,-1.9,3.0735211,9.7,2103849984.0,63.653,1.421,0.32916,1.355,234.25,0.13647,-0.067,1.941,218.22
NUE,1.317581,0.0147,8.486842,8.560053,40554876928.0,16.577,16.72,0.11,3.0213988,3.124,5142720512.0,41.178,0.918,0.31003,1.328,120.35,0.62284,0.342,2.619,141.9
PPG,1.150276,0.019199999,16.22141,22.406317,31655047168.0,5.951,8.22,1.55,5.0624547,17.463,537625024.0,125.815,0.029,0.12197,0.933,146.48,0.17226,0.076,1.502,133.34
ILMN,1.097488,,56.43672,37.230316,35548872704.0,6.109,4.03,-29.55,3.3709297,37.609,1291250048.0,24.002,-0.452,0.20125,1.373,296.75,0.088640004,0.119,1.849,227.44
PCAR,0.88676,0.0149,13.777778,18.525896,32287459328.0,5.02,6.75,1.17,2.8496137,12.979,14790537216.0,94.606,0.466,0.117910005,1.068,92.82,0.18620001,0.225,1.427,93.0
VRSK,0.83908,0.0064999997,33.595318,46.939247,32377241600.0,4.28,5.98,3.54,11.946955,23.976,692499968.0,146.254,2.039,0.45935002,0.387,199.92,0.36865002,0.068,0.466,200.9
ES,0.45977,0.028900001,22.289537,26.615341,31496069120.0,3.442,4.11,3.22,2.1852489,15.643,,139.23,0.092,0.30072,,92.65,,0.212,,91.61
BKR,1.520647,0.028800001,20.892561,140.44444,21992792064.0,0.18,1.21,0.45,1.5355647,10.31,1585250048.0,44.14,,0.13729,1.01,35.82,-0.02493,-0.018,1.515,25.28
IDXX,1.124308,,42.155155,45.50126,33635923968.0,8.718,9.41,4.45,44.610886,33.32,504059264.0,200.624,-0.034,0.31726998,0.69,506.14,1.09366,0.076,1.122,396.68
IFF,1.028097,0.0255,23.105862,104.73865,31113281536.0,1.167,5.29,,1.4520938,15.425,454124992.0,59.062,,0.22726999,0.774,191.0,0.02637,0.309,1.862,122.23
HES,1.673478,0.013300001,23.961538,177.15639,34732785664.0,0.633,4.68,0.17,6.1540995,9.226,1045000000.0,117.208,,0.50956,0.917,133.43,0.25191998,0.881,1.685,112.14
TDG,1.435504,,31.321022,63.642487,36547145728.0,10.394,21.12,1.42,,22.148,804374976.0,,0.897,0.44739,3.925,710.51,,0.111,5.045,661.5
OTIS,0.696624,0.0148,24.424242,28.795998,34236379136.0,2.799,3.3,2.59,,16.862,1066625024.0,,0.0,0.16379,0.791,80.67,,-0.058,0.97,80.6
CARR,1.103526,0.0148,18.397436,17.26835,37306482688.0,2.493,2.34,2.31,5.406933,13.937,1160249984.0,129.534,0.218,0.14267999,1.181,45.3,0.39484,-0.042,1.673,43.05
TWTR,0.594721,,45.770832,,35134861312.0,-0.228,0.96,0.24,4.889284,153.508,25991376.0,113.228,,0.040349998,6.973,43.05,-0.01638,-0.012,7.15,43.94
WBA,0.590464,0.048499998,7.856863,13.661779,34618277888.0,2.933,5.1,8.94,1.480674,15.818,7945249792.0,122.711,-0.76,0.03427,0.394,41.83,0.18168,-0.042,0.784,40.07
DD,1.223499,0.0216,12.587045,5.746234,32215707648.0,10.821,4.94,1.25,1.20961,10.074,-5873500160.0,42.79,-0.893,0.24388,0.777,91.78,0.060549997,0.085,2.82,62.18
MTB,0.886334,0.027,16.067926,13.399541,24047366144.0,13.946,11.63,0.77,1.5242002,,,,-0.211,0.0,,201.51,0.10335,-0.051,,186.87
VICI,,0.042600002,17.41,18.923912,21899898880.0,1.84,2.0,2.69,1.8174225,41.052,-16779758592.0,62.046,,0.5846,65.691,36.3,0.03972,0.76,65.691,34.82
TSN,0.679863,0.0209,10.589239,9.67506,29297006592.0,8.34,7.62,1.24,1.6617926,5.449,3128375040.0,43.584,0.754,0.13997,0.764,97.82,0.23108,0.161,1.932,80.69
KDP,0.536482,0.0194,23.088757,32.247932,55328796672.0,1.21,1.69,3.25,2.267023,18.879,2077500032.0,52.227,-0.516,0.26965,0.299,40.7,0.08764,0.132,0.558,39.02
AWK,0.436781,0.016900001,34.565704,36.969986,28174696448.0,4.198,4.49,4.2,4.1034317,20.657,-157250000.0,154.663,0.053,0.50497,0.442,163.67,0.18219,-0.062,0.589,155.2
WY,1.514261,0.0198,19.481283,11.002718,27287709696.0,3.311,1.87,2.36,2.631655,7.551,2548000000.0,46.921,-0.227,0.37655,2.419,41.3,0.23162001,-0.054,3.201,36.43
ALB,1.575138,0.0064999997,44.505867,142.39014,31080523776.0,1.866,5.97,0.25,5.458318,30.462,-83904624.0,43.769,1.56,0.28061,0.567,275.5,0.060739998,0.36,1.111,265.7
ROST,0.991485,0.0153,16.445896,19.742441,31146039296.0,4.465,5.36,0.53,7.8272066,11.922,-223502496.0,139.531,-0.276,0.13465999,1.113,96.35,0.41120997,-0.041,1.876,88.15
KEYS,1.064708,,22.28877,34.87866,30516762624.0,4.78,7.48,1.72,8.025416,19.535,685000000.0,53.136,0.424,0.29255,1.977,179.0,0.27936,0.106,2.857,166.72
FRC,1.093656,0.0066000004,20.143204,22.852816,29757888512.0,7.263,8.24,2.12,2.4983444,,,,0.108,0.0,,180.19,0.108009994,0.217,,165.98
GLW,0.945083,0.0294,16.008621,36.992035,31695572992.0,1.004,2.32,0.76,2.559614,9.932,1381750016.0,63.195,,0.25722998,0.618,40.49,0.16896,0.033,1.425,37.14
AVB,0.928905,0.0297,54.867348,29.727713,30055493632.0,7.235,3.92,-3.5,2.7794576,26.266,1033276864.0,74.431,0.838,0.60464,0.545,225.33,0.10384,0.115,1.083,215.08
APTV,1.999574,,23.56399,36.936417,29385932800.0,2.941,4.61,0.55,3.5429373,16.775,-15125000.0,80.663,-0.738,0.115959994,2.0,138.41,0.04729,0.039,2.599,108.63
OKE,1.712217,0.0626,17.005236,20.331768,28968067072.0,3.195,3.82,1.43,4.959536,12.724,959939136.0,231.563,0.012,0.16957001,0.489,69.63,0.2489,0.704,0.758,64.96
RSG,0.735206,0.013300001,30.62635,37.41425,44964073472.0,3.79,4.63,2.76,5.075343,15.566,1260062464.0,110.581,0.198,0.29567,0.67,145.43,0.15296,0.144,0.751,141.8
MTD,1.080034,,36.087624,42.215153,30956912640.0,31.903,37.32,1.9,194.48232,28.255,589771776.0,26549.602,0.183,0.29479,0.658,1310.09,8.260571,0.058,1.184,1346.79
DFS,1.479352,0.0238,8.079673,6.4882803,31801677824.0,16.724,13.43,0.11,2.6201918,,,145.198,-0.286,0.0,1.236,122.67,0.33495,-0.223,1.237,108.51
KHC,0.787143,0.0434,14.670454,20.844994,47407067136.0,1.858,2.64,-8.43,0.9487531,10.792,2859749888.0,43.114,,0.23478001,0.402,42.4,0.0308,-0.009,0.892,38.73
EQR,0.820774,0.0313,54.22758,27.853348,29487507456.0,2.823,1.45,-2.37,2.7751112,24.361,1504729088.0,71.98,-0.295,0.60374,0.11,81.9,0.11643,0.149,0.229,78.63
AMP,1.506598,0.0185,11.498377,15.401175,31700676608.0,18.396,24.64,1.13,5.579911,5.067,,70.26,0.355,0.35364,9.915,292.6,0.65045,0.027,10.989,283.32
AME,1.260962,0.0070999996,23.595549,31.874687,29419913216.0,3.99,5.39,-18.52,4.485909,18.474,764177344.0,39.112,0.245,0.28881,0.816,145.44,0.15986,0.2,1.429,127.18
ENPH,1.357173,,98.28859,254.25348,39515725824.0,1.152,2.98,2.15,60.970024,128.325,359881632.0,289.624,0.941,0.17308001,3.306,260.14,0.3925,0.678,3.617,292.9
TROW,1.338016,0.038900003,9.701123,9.759607,29683431424.0,13.27,13.35,1.03,3.5459847,7.325,1781799936.0,3.153,-0.578,0.50233,1.817,112.33,0.24777001,-0.216,1.817,129.51
DTE,0.616006,0.0272,22.52196,29.530455,25829621760.0,4.515,5.92,5.46,3.0150151,17.048,-1585124992.0,223.546,-0.793,0.14566,0.323,137.97,0.074439995,0.63,0.594,133.33
LUV,1.006385,,20.08763,,23067123712.0,-0.003,1.94,-0.69,2.25039,7.747,-811249984.0,107.923,1.105,0.11091,1.522,53.73,0.09573,0.679,1.656,38.97
ABC,0.487441,0.0126,12.922406,20.056833,30849472512.0,7.39,11.47,1.35,138.13608,9.989,2271717632.0,857.149,0.233,0.015570001,0.496,170.67,4.32365,0.174,0.921,148.22
TSCO,0.963814,0.019199999,22.402298,24.920086,22182543360.0,7.821,8.7,1.92,10.990189,14.325,108586752.0,205.581,0.107,0.13036,0.237,236.46,0.52873003,0.084,1.441,194.9
FE,0.420604,0.038,16.028,19.915506,22847434752.0,2.012,2.5,-6.91,2.9167273,11.971,162375008.0,186.636,2.072,0.32661,0.554,44.7,0.14149,0.075,0.753,40.07
DHI,1.579395,0.0115,5.1538963,6.897458,28031442944.0,11.41,15.27,0.38,1.8821447,4.338,-1109812480.0,32.98,0.526,0.23115,0.396,95.26,0.34354,0.206,5.417,78.7
LH,1.021285,0.011,14.785142,9.179408,24761417728.0,28.187,17.5,-0.97,2.3552005,8.369,1748649984.0,60.608,-0.187,0.22145,1.556,307.25,0.19262,-0.037,1.904,258.74
DRE,0.668795,0.0179,88.041664,26.022165,24142080000.0,2.436,0.72,7.9,4.0559216,40.882,,60.687,-0.43,0.61046004,1.229,,0.16086,0.053,2.671,63.39
CPRT,1.111536,,27.816017,30.966263,30481029120.0,4.15,4.62,1.26,8.034386,19.879,521612512.0,12.061,-0.025,0.43772,4.042,156.43,0.28474,0.281,5.472,128.51
ON,1.742017,,20.35583,43.31593,28590143488.0,1.532,3.26,0.75,6.9327207,12.563,842787520.0,67.79,4.911,0.33991,1.653,69.71,0.33501998,0.313,2.789,66.36
LYB,1.345253,0.053400002,6.009862,5.3390574,30419785728.0,17.121,15.21,1.6,2.5844667,4.732,4523375104.0,106.877,-0.188,0.16320999,0.847,106.43,0.47389,0.283,1.678,91.41
AEE,0.367816,0.0253,23.274752,24.506124,24222691328.0,3.837,4.04,3.36,2.5009973,14.204,-1439874944.0,142.617,0.066,0.42021,0.298,96.42,0.105450004,0.203,0.646,94.03
STT,1.612175,0.0355,8.730404,10.831,26877388800.0,6.787,8.42,1.55,1.0607504,,,,-0.077,0.0,,80.21,0.10845,-0.035,,73.51
SIVB,1.836526,,15.420392,13.965638,26715090944.0,32.595,29.52,1.37,2.1829472,,,,-0.384,0.0,,511.11,0.12527001,-0.083,,455.21
ZBH,1.171562,0.0087,14.339151,29.381706,24024420352.0,3.914,8.02,2.36,1.8903282,12.283,1467287552.0,53.098,-0.928,0.29959,0.641,125.89,0.02307,0.039,1.689,115.0
FITB,1.344401,0.0352,11.068658,10.248756,25307322368.0,3.618,3.35,1.42,1.2532955,,,,-0.191,0.0,,42.64,0.11567,-0.111,,37.08
WTW,0.796083,0.0159,,,,,,2.35,,11.491,2043250048.0,52.818,-0.313,0.25919,0.281,,0.15968001,-0.029,1.114,216.45
ARE,0.893146,0.028499998,54.56536,25.632484,25874339840.0,6.514,3.06,-10.62,1.7383292,28.088,1283688192.0,52.213,-0.361,0.60532004,2.166,201.45,0.022720002,0.257,2.433,166.97
MKC,0.491698,0.016900001,28.912903,31.783688,23962042368.0,2.82,3.1,5.65,5.462246,24.356,334824992.0,116.463,-0.353,0.18461001,0.261,90.34,0.15257,-0.013,0.742,89.63
EIX,0.67816,0.041300002,14.87069,34.379673,26213652480.0,2.007,4.64,2.91,1.9265132,10.961,-2327124992.0,175.694,-0.247,0.33325002,0.299,73.4,0.02898,0.209,0.61,69.0
HIG,0.980417,0.0239,9.638177,11.259778,23028285440.0,6.009,7.02,0.72,1.31932,6.559,4683375104.0,30.753,-0.474,0.15609,0.993,83.24,0.12923001,-0.038,1.908,67.66
